,Enrolment,Department
EH306,9,EH
EH307,9,EH
EH308,19,EH
EH312,15,EH
EH313,Unavailable,EH
EH314,17,EH
EH316,Unavailable,EH
EH317,Unavailable,EH
EH326,18,EH
EH327,Unavailable,EH
EH390,57,EH
EH391,6,EH
EU3A1,20,EU
FM100,53,FM
FM101,335,FM
FM200,62,FM
FM201,62,FM
FM212,371,FM
FM213,534,FM
FM300,310,FM
FM301,47,FM
FM302,47,FM
FM304,47,FM
FM305,47,FM
FM321,47,FM
FM322,47,FM
GV100,278,GV
GV101,253,GV
GV225,43,GV
GV245,71,GV
GV248,79,GV
GV249,88,GV
GV250,Unavailable,GV
GV251,64,GV
GV252,Unavailable,GV
GV262,89,GV
GV263,85,GV
GV264,55,GV
GV267,Unavailable,GV
GV302,17,GV
GV307,28,GV
GV309,Unavailable,GV
GV311,34,GV
GV312,12,GV
GV313,17,GV
GV314,14,GV
GV315,24,GV
GV316,Unavailable,GV
GV318,27,GV
GV319,13,GV
GV320,Unavailable,GV
GV321,13,GV
GV323,Unavailable,GV
GV324,3,GV
GV325,14,GV
GV326,16,GV
GV327,Unavailable,GV
GV328,15,GV
GV329,17,GV
GV330,13,GV
GV331,Unavailable,GV
GV332,Unavailable,GV
GV334,15,GV
GV335,14,GV
GV336,Unavailable,GV
GV337,Unavailable,GV
GV338,Unavailable,GV
GV342L,44,GV
GV342M,44,GV
GV366,Unavailable,GV
GV390,22,GV
GV398,14,GV
GV3L1,4,GV
GV3L2,Unavailable,GV
GY100,85,GY
GY101,81,GY
GY103,40,GY
GY120,39,GY
GY121,79,GY
GY140,44,GY
GY144,42,GY
GY202,97,GY
GY204,Unavailable,GY
GY205,35,GY
GY206,68,GY
GY207,59,GY
GY209,80,GY
GY210,88,GY
GY212,Unavailable,GY
GY220,38,GY
GY222,98,GY
GY245,87,GY
GY246,41,GY
GY247,40,GY
GY248,6,GY
GY307,42,GY
GY308,23,GY
GY309,40,GY
GY310,16,GY
GY311,35,GY
GY313,41,GY
GY314,39,GY
GY315,29,GY
GY316,35,GY
GY326,89,GY
GY327,42,GY
GY328,35,GY
GY329,38,GY
GY331,27,GY
GY350,47,GY
HY113,136,HY
HY116,78,HY
HY118,26,HY
HY120,71,HY
HY200,25,HY
HY206,50,HY
HY221,Unavailable,HY
HY226,13,HY
HY232,11,HY
HY235,37,HY
HY238,Unavailable,HY
HY239,43,HY
HY240,28,HY
HY241,7,HY
HY242,17,HY
HY243,24,HY
HY245,50,HY
HY246,29,HY
HY247,30,HY
HY300,56,HY
HY311,14,HY
HY315,10,HY
HY319,Unavailable,HY
HY320,19,HY
HY322,18,HY
HY323,13,HY
HY327,8,HY
HY328,18,HY
HY329,Unavailable,HY
HY330,Unavailable,HY
HY331,18,HY
HY332,Unavailable,HY
HY333,16,HY
HY334,10,HY
HY335,14,HY
HY336,Unavailable,HY
IR100,144,IR
IR101,88,IR
IR102,61,IR
IR200,83,IR
IR202,137,IR
IR203,79,IR
IR205,101,IR
IR206,101,IR
IR305,29,IR
IR312,16,IR
IR313,Unavailable,IR
IR314,15,IR
IR315,15,IR
IR317,30,IR
IR318,15,IR
IR319,20,IR
IR320,Unavailable,IR
IR322,Unavailable,IR
IR323,25,IR
IR324,Unavailable,IR
IR325,Unavailable,IR
IR326,15,IR
IR345,15,IR
IR349,46,IR
IR354,Unavailable,IR
IR355,Unavailable,IR
IR367,30,IR
IR368,23,IR
IR369,35,IR
IR372,Unavailable,IR
IR373,28,IR
IR377,Unavailable,IR
IR378,Unavailable,IR
IR379,Unavailable,IR
IR380,Unavailable,IR
IR395,Unavailable,IR
IR398,45,IR
LL100,194,LL
LL104,229,LL
LL105,202,LL
LL106,200,LL
LL108,221,LL
LL109,222,LL
LL201,12,LL
LL202,117,LL
LL203,75,LL
LL204,Unavailable,LL
LL205,104,LL
LL207,22,LL
LL210,74,LL
LL212,18,LL
LL221,Unavailable,LL
LL232,211,LL
LL233,18,LL
LL241,15,LL
LL250,Unavailable,LL
LL251,45,LL
LL253,18,LL
LL257,30,LL
LL259,28,LL
LL272,26,LL
LL275,203,LL
LL278,59,LL
LL284,21,LL
LL293,20,LL
LL295,30,LL
LL300,40,LL
LL301,27,LL
LL305,167,LL
LL342,13,LL
LL398,3,LL
LL399,22,LL
LN100,2,LN
LN101,9,LN
LN102,6,LN
LN104,22,LN
LN110,6,LN
LN112,4,LN
LN115,30,LN
LN120,26,LN
LN121,23,LN
LN122,10,LN
LN130,23,LN
LN131,19,LN
LN132,19,LN
LN140,17,LN
LN142,18,LN
LN200,3,LN
LN210,4,LN
LN220,13,LN
LN230,10,LN
LN240,8,LN
LN241,14,LN
LN250,21,LN
LN251,24,LN
LN252,16,LN
LN253,22,LN
LN254,23,LN
LN270,12,LN
LN303,1,LN
LN320,6,LN
LN330,8,LN
LN340,Unavailable,LN
LN341,Unavailable,LN
LN342,8,LN
LN370,Unavailable,LN
MA100,520,MA
MA102,41,MA
MA103,171,MA
MA107,554,MA
MA203,171,MA
MA207,92,MA
MA208,65,MA
MA210,22,MA
MA211,18,MA
MA212,309,MA
MA213,Unavailable,MA
MA214,49,MA
MA222,Unavailable,MA
MA301,40,MA
MA303,Unavailable,MA
MA315,4,MA
MA316,12,MA
MA317,14,MA
MA318,7,MA
MA319,18,MA
MA320,12,MA
MA321,33,MA
MA322,24,MA
MA323,39,MA
MA324,Unavailable,MA
MA330,Unavailable,MA
MA333,6,MA
MA334,10,MA
MC300,Unavailable,MC
MG104,235,MG
MG105,243,MG
MG205,222,MG
MG206,66,MG
MG207,204,MG
MG209,124,MG
MG210,23,MG
MG212,259,MG
MG213,208,MG
MG214,113,MG
MG228,Unavailable,MG
MG301,158,MG
MG302,23,MG
MG303,168,MG
MG305,60,MG
MG307,Unavailable,MG
MG308,62,MG
MG310,Unavailable,MG
MG311,90,MG
MG312,35,MG
MG315,Unavailable,MG
MG316,115,MG
MG317,Unavailable,MG
MG318,Unavailable,MG
MY360,Unavailable,MY
MY361,Unavailable,MY
PB100,48,PB
PB101,47,PB
PB102,Unavailable,PB
PB130,41,PB
PB200,33,PB
PB201,33,PB
PB202,33,PB
PB204,33,PB
PB205,33,PB
PB230,33,PB
PB300,28,PB
PB301,Unavailable,PB
PB302,Unavailable,PB
PB303,9,PB
PB304,11,PB
PB307,9,PB
PB308,6,PB
PB310,28,PB
PB312,11,PB
PB314,10,PB
PH103,165,PH
PH105,68,PH
PH111,190,PH
PH112,52,PH
PH201,18,PH
PH203,22,PH
PH214,57,PH
PH217,2,PH
PH222,82,PH
PH223,13,PH
PH224,37,PH
PH225,62,PH
PH227,59,PH
PH230,38,PH
PH232,27,PH
PH238,35,PH
PH239,Unavailable,PH
PH301,2,PH
PH311,83,PH
PH333,33,PH
PH340,52,PH
PH341,44,PH
PH399,21,PH
SO100,85,SO
SO102,55,SO
SO110,90,SO
SO201,74,SO
SO203,31,SO
SO210,Unavailable,SO
SO221,60,SO
SO232,33,SO
SO234,Unavailable,SO
SO235,Unavailable,SO
SO236,33,SO
SO237,35,SO
SO240,35,SO
SO244,34,SO
SO248,35,SO
SO302,42,SO
SO309,Unavailable,SO
SO310,34,SO
SO311,Unavailable,SO
SO312,Unavailable,SO
SO313,36,SO
SO348,34,SO
SP100,45,SP
SP101,45,SP
SP110,16,SP
SP111,29,SP
SP112,31,SP
SP200,72,SP
SP201,73,SP
SP210,19,SP
SP230,33,SP
SP231,Unavailable,SP
SP232,29,SP
SP271,29,SP
SP314,Unavailable,SP
SP331,15,SP
SP332,14,SP
SP333,12,SP
SP335,14,SP
SP336,Unavailable,SP
SP372,10,SP
SP374,15,SP
SP399,52,SP
ST101,81,ST
ST102,409,ST
ST107,447,ST
ST109,208,ST
ST110,1,ST
ST115,56,ST
ST201,28,ST
ST202,180,ST
ST205,76,ST
ST206,32,ST
ST207,22,ST
ST211,57,ST
ST213,40,ST
ST226,103,ST
ST227,134,ST
ST300,94,ST
ST301,75,ST
ST302,113,ST
ST303,46,ST
ST304,43,ST
ST306,62,ST
ST307,18,ST
ST308,63,ST
ST309,52,ST
ST310,47,ST
ST311,26,ST
ST312,2,ST
ST313,Unavailable,ST
ST326,87,ST
ST327,59,ST
ST330,66,ST
